1	2	3	4	5
1732	10200929.45	9647597.739	10754261.16	0
1731	10172076.68	9618744.974	10725408.39	0
1730	10140146.86	9586815.15	10693478.57	0
1729	10105546.68	9552214.973	10658878.39	0
1728	10068719.99	9515388.277	10622051.69	0
1727	10030138.84	9476807.131	10583470.55	0
1726	9990294.253	9436962.545	10543625.96	0
1725	9949686.688	9396354.98	10503018.4	0
1724	9908816.586	9282759.512	10534873.66	0
1723	9868175.114	9242118.04	10494232.19	0
1722	9828235.333	9202178.259	10454292.41	0
1721	9789443.966	9163386.892	10415501.04	0
1720	9752213.94	9126156.866	10378271.01	0
1719	9716917.85	9090860.776	10342974.92	0
1718	9683882.462	9057825.388	10309939.54	0
1717	9653384.364	9027327.29	10279441.44	0
1716	9625646.825	8999589.751	10251703.9	0
1715	9600837.907	8974780.833	10226894.98	0
1714	9579069.84	8956018.027	10202121.65	0
1713	9560399.644	8937347.831	10183451.46	0
1712	9544830.942	8921779.129	10167882.76	0
1711	9532316.902	8909265.088	10155368.71	0
1710	9522764.197	8899712.384	10145816.01	0
1709	9516037.877	8892986.063	10139089.69	0
1708	9511966.99	8888915.177	10135018.8	0
1707	9510350.831	8887299.018	10133402.64	0
1706	9510965.62	8887913.806	10134017.43	0
1705	9513571.462	8890519.648	10136623.27	0
1704	9517919.402	8894867.589	10140971.22	0
1703	9523758.409	8900706.596	10146810.22	0
1702	9530842.115	8907790.301	10153893.93	0
1701	9538935.153	8915883.34	10161986.97	0
1700	9547818.964	8924767.151	10170870.78	0
1699	9557296.914	8934245.1	10180348.73	0
1698	9567198.642	8944146.829	10190250.46	0
1697	9577383.537	8954331.724	10200435.35	0
1696	9587743.272	8964691.459	10210795.09	0
1695	9598203.362	8975151.548	10221255.18	0
1694	9608723.726	8985671.913	10231775.54	0
1693	9619298.258	8996246.445	10242350.07	0
1692	9629953.428	9006901.614	10253005.24	0
1691	9640745.974	9017694.161	10263797.79	0
1690	9651759.758	9028707.945	10274811.57	0
1689	9663101.861	9040050.048	10286153.67	0
1688	9674898.04	9051846.226	10297949.85	0
1687	9687287.651	9064235.838	10310339.46	0
1686	9700418.185	9077366.372	10323470	0
1685	9714439.536	9091387.722	10337491.35	0
1684	9729498.15	9106446.336	10352549.96	0
1683	9745731.203	9122679.39	10368783.02	0
1682	9763260.939	9140209.126	10386312.75	0
1681	9782189.306	9159137.492	10405241.12	0
1680	9802593.017	9179541.203	10425644.83	0
1679	9824519.162	9201467.349	10447570.98	0
1678	9847981.462	9224929.648	10471033.28	0
1677	9872957.262	9249905.449	10496009.08	0
1676	9899385.345	9276333.532	10522437.16	0
1675	9927164.608	9304112.795	10550216.42	0
1674	9956153.656	9333101.842	10579205.47	0
1673	9986171.318	9363119.505	10609223.13	0
1672	10016998.1	9393946.289	10640049.92	0
1671	10048378.56	9425326.743	10671430.37	0
1670	10080024.51	9456972.694	10703076.32	0
1669	10111619.12	9488567.309	10734670.94	0
1668	10142821.72	9519769.907	10765873.53	0
1667	10173273.24	9550221.428	10796325.05	0
1666	10202602.29	9579550.472	10825654.1	0
1665	10230431.6	9607379.785	10853483.41	0
1664	10256384.88	9633333.066	10879436.69	0
1663	10280093.79	9657041.981	10903145.61	0
1662	10301205.04	9678153.224	10924256.85	0
1661	10319387.32	9696335.507	10942439.13	0
1660	10334338.14	9711286.325	10957389.95	0
1659	10345790.18	9722738.363	10968841.99	0
1658	10353517.23	9730465.414	10976569.04	0
1657	10357339.48	9734287.669	10980391.3	0
1656	10357128.1	9734076.283	10980179.91	0
1655	10352808.9	9729757.089	10975860.72	0
1654	10344365.2	9721313.389	10967417.02	0
1653	10331839.55	9708787.734	10954891.36	0
1652	10315334.46	9692282.642	10938386.27	0
1651	10295012.03	9671960.218	10918063.85	0
1650	10271092.48	9648040.663	10894144.29	0
1649	10243851.48	9620799.662	10866903.29	0
1648	10213616.52	9590564.71	10836668.34	0
1647	10180762.2	9557710.387	10803814.01	0
1646	10145704.5	9522652.686	10768756.31	0
1645	10108894.29	9485842.473	10731946.1	0
1644	10070810	9447758.182	10693861.81	0
1643	10031949.71	9408897.894	10655001.52	0
1642	9992822.74	9369770.927	10615874.55	0
1641	9953940.913	9330889.1	10576992.73	0
1640	9915809.652	9292757.838	10538861.47	0
1639	9878919.108	9255867.294	10501970.92	0
1638	9843735.464	9220683.651	10466787.28	0
1637	9810692.603	9187640.79	10433744.42	0
1636	9780184.312	9157132.498	10403236.13	0
1635	9752557.174	9129505.36	10375608.99	0
1634	9728104.312	9105052.498	10351156.12	0
1633	9707060.106	9084008.293	10330111.92	0
1632	9689596.008	9066544.195	10312647.82	0
1631	9675817.539	9052765.725	10298869.35	0
1630	9665762.553	9042710.74	10288814.37	0
1629	9659400.803	9036348.989	10282452.62	0
1628	9656634.825	9033583.012	10279686.64	0
1627	9657302.144	9034250.331	10280353.96	0
1626	9661178.75	9038126.937	10284230.56	0
1625	9667983.785	9044931.971	10291035.6	0
1624	9677385.354	9054333.541	10300437.17	0
1623	9689007.344	9065955.53	10312059.16	0
1622	9702437.103	9079385.289	10325488.92	0
1621	9717233.842	9094182.029	10340285.66	0
1620	9732937.57	9109885.756	10355989.38	0
1619	9749078.383	9126026.57	10372130.2	0
1618	9765185.925	9142134.112	10388237.74	0
1617	9780798.803	9157746.99	10403850.62	0
1616	9795473.781	9172421.968	10418525.59	0
1615	9808794.544	9185742.731	10431846.36	0
1614	9820379.864	9197328.051	10443431.68	0
1613	9829890.984	9206839.171	10452942.8	0
1612	9837038.082	9213986.268	10460089.9	0
1611	9841585.665	9218533.852	10464637.48	0
1610	9843356.806	9220304.993	10466408.62	0
1609	9842236.119	9219184.305	10465287.93	0
1608	9838171.424	9215119.611	10461223.24	0
